2026-04-10 15:38:23,739 | DEBUG | electrical_capacity_app | setup_logging | Logging initialized
2026-04-10 15:38:23,740 | INFO | electrical_capacity_app | main | Application start
2026-04-10 15:38:23,849 | INFO | electrical_capacity_app | load_stylesheet | Loading stylesheet from: C:\Users\h202202773\PycharmProjects\ELCL\styles\app_style.qss
2026-04-10 15:38:23,850 | INFO | electrical_capacity_app | __init__ | MainWindow init start
2026-04-10 15:38:23,851 | DEBUG | electrical_capacity_app | __init__ | DatabaseManager init: C:\Users\h202202773\PycharmProjects\ELCL\data\parts.db
2026-04-10 15:38:23,851 | INFO | electrical_capacity_app | _initialize | Initializing database
2026-04-10 15:38:23,871 | INFO | electrical_capacity_app | _initialize | Database ready
2026-04-10 15:38:24,353 | DEBUG | electrical_capacity_app | get_all_parts | Fetching all parts
2026-04-10 15:38:24,363 | DEBUG | electrical_capacity_app | get_part_nos | Fetching part numbers
2026-04-10 15:38:24,366 | DEBUG | electrical_capacity_app | get_all_parts | Fetching all parts
2026-04-10 15:38:24,378 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:24,378 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:24,378 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:24,378 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:24,378 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:24,378 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:24,378 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:24,398 | INFO | electrical_capacity_app | __init__ | MainWindow init done
2026-04-10 15:38:33,331 | INFO | electrical_capacity_app | startDrag | Start drag for breaker template: SUB-MCCB
2026-04-10 15:38:34,240 | INFO | electrical_capacity_app | add_child_breaker | Adding child breaker under MCCB-01: SUB-MCCB-01
2026-04-10 15:38:34,240 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
2026-04-10 15:38:34,241 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=0.00A
